Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00035091,-1.3484E-17,-0.0043115,0,0,0,0.66707,0.00059432,-1.0895E-18,3.1949E-21,0.00060798,-1.7633E-08,0.00093172,0,0,0,0,0,0,package://mintchoco1/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/base_link.STL,,opencr-2;body-part-left-1;body-leg-real-2;body-y-1;body-y-2;body-part-left-2;body-bottom-1;body-leg-real-1;XL-430_new (2)-2;XL-430_new (2)-1;XL-430_new (2)-3;XL-430_new (2)-4,base_car,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_link1,-0.024455,0.035154,0.00033392,0,0,0,0.081435,2.7163E-05,1.2278E-06,-1.4412E-08,2.8585E-05,-2.5385E-07,1.9479E-05,0,0,0,0,0,0,package://mintchoco1/meshes/LF_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/LF_link1.STL,,leg1-real-2-2;leg1-part2.5-2;XL-430_new (2)-8,LF_joint1_car,LF_joint1_,LF_joint1,revolute,0.1515,0.04025,-0.00175,0,0,0,base_link,-0.99995,0,0.010204,0,0,-3.14,3.14,,,,,,,,
LF_link2,0.00096259,-0.097555,-0.0025994,0,0,0,0.25649,0.00086048,-1.0049E-06,-2.5703E-07,5.3981E-05,1.0286E-05,0.00085527,0,0,0,0,0,0,package://mintchoco1/meshes/LF_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/LF_link2.STL,,leg2-3;XL-430_new (2)-12,LF_joint2_car,LF_joint2_,LF_joint2,revolute,-0.024,0.079,0.0125,0,0,-1.5708,LF_link1,1,0,0,0,0,-3.14,3.14,,,,,,,,
LF_link3,0.021928,4.0475E-05,-0.1015,0,0,0,0.080926,0.00020706,-2.2414E-09,4.9749E-06,0.00020883,1.0221E-08,7.6685E-06,0,0,0,0,0,0,package://mintchoco1/meshes/LF_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/LF_link3.STL,,leg3-real-part-1;leg3-real-2.5-1;foot-2,LF_joint3_car,LF_joint3_,LF_joint3,revolute,-0.022,-0.18525,-0.03025,0,0,0,LF_link2,-1,-0.0017021,0,0,0,-3.14,3.14,,,,,,,,
RF_link1,-0.024443,-0.035154,0.00032454,0,0,0,0.081435,2.7163E-05,-1.2382E-06,1.4412E-08,2.8585E-05,2.5703E-07,1.9479E-05,0,0,0,0,0,0,package://mintchoco1/meshes/RF_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/RF_link1.STL,,leg1-real-2-1;XL-430_new (2)-5;leg1-part2.5-1,RF_joint1_car,RF_joint1_,RF_joint1,revolute,0.1515,-0.04025,-0.00175,0,0,0,base_link,-0.99999,0,0.005102,0,0,-3.14,3.14,,,,,,,,
RF_link2,-0.00096259,-0.097559,-0.0025994,0,0,0,0.25649,0.00086048,9.9438E-07,2.5703E-07,5.3981E-05,1.0295E-05,0.00085527,0,0,0,0,0,0,package://mintchoco1/meshes/RF_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/RF_link2.STL,,leg2-R-4;XL-430_new (2)-11,RF_joint2_car,RF_joint2_,RF_joint2,revolute,-0.024,-0.079,0.0125,0,0,-1.5708,RF_link1,-1,0,0,0,0,-3.14,3.14,,,,,,,,
RF_link3,-0.021928,-4.0475E-05,-0.1015,0,0,0,0.080926,0.00020706,-2.2414E-09,-4.9749E-06,0.00020883,-1.0221E-08,7.6685E-06,0,0,0,0,0,0,package://mintchoco1/meshes/RF_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/RF_link3.STL,,leg3-real-2.5-3;foot-1;leg3-real-part-2,RF_joint3_car,RF_joint3_,RF_joint3,revolute,0.022,-0.18525,-0.03025,0,0,0,RF_link2,-1,-0.0017021,0,0,0,-3.14,3.14,,,,,,,,
LB_link1,-0.024455,0.035154,0.00033392,0,0,0,0.081435,2.7163E-05,1.2278E-06,-1.4412E-08,2.8585E-05,-2.5385E-07,1.9479E-05,0,0,0,0,0,0,package://mintchoco1/meshes/LB_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/LB_link1.STL,,leg1-real-2-4;XL-430_new (2)-7;leg1-part2.5-4,LB_joint1_car,LB_joint1_,LB_joint1,revolute,-0.1025,0.04025,-0.00175,0,0,0,base_link,0.99995,0,-0.010204,0,0,-3.14,3.14,,,,,,,,
LB_link2,0.00096259,-0.097555,-0.0025994,0,0,0,0.25649,0.00086048,-1.0049E-06,-2.5703E-07,5.3981E-05,1.0286E-05,0.00085527,0,0,0,0,0,0,package://mintchoco1/meshes/LB_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/LB_link2.STL,,leg2-4;XL-430_new (2)-9,LB_joint2_car,LB_joint2_,LB_joint2,revolute,-0.024,0.079,0.0125,0,0,-1.5708,LB_link1,1,0,0,0,0,-3.14,3.14,,,,,,,,
LB_link3,0.021928,3.6546E-05,-0.1015,0,0,0,0.080926,0.00020706,-2.2414E-09,4.9749E-06,0.00020883,1.0221E-08,7.6685E-06,0,0,0,0,0,0,package://mintchoco1/meshes/LB_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/LB_link3.STL,,leg3-real-2.5-2;leg3-real-part-3;foot-4,LB_joint3_car,LB_joint3_,LB_joint3,revolute,-0.022,-0.18525,-0.03025,0,0,0,LB_link2,-1,0,0,0,0,-3.14,3.14,,,,,,,,
RB_link1,-0.024443,-0.035154,0.00032454,0,0,0,0.081435,2.7163E-05,-1.2382E-06,1.4412E-08,2.8585E-05,2.5703E-07,1.9479E-05,0,0,0,0,0,0,package://mintchoco1/meshes/RB_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/RB_link1.STL,,leg1-real-2-3;leg1-part2.5-3;XL-430_new (2)-6,RB_joint1_car,RB_joint1_,RB_joint1,revolute,-0.1025,-0.04025,-0.00175,0,0,0,base_link,0.99999,0,-0.005102,0,0,-3.14,3.14,,,,,,,,
RB_link2,-0.00096259,-0.097559,-0.0025994,0,0,0,0.25649,0.00086048,9.9438E-07,2.5703E-07,5.3981E-05,1.0295E-05,0.00085527,0,0,0,0,0,0,package://mintchoco1/meshes/RB_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/RB_link2.STL,,leg2-R-5;XL-430_new (2)-10,RB_joint2_car,RB_joint2_,RB_joint2,revolute,-0.024,-0.079,0.0125,0,0,-1.5708,RB_link1,-1,0,0,0,0,-3.14,3.14,,,,,,,,
RB_link3,-0.021928,-4.0475E-05,-0.1015,0,0,0,0.080926,0.00020706,-2.2414E-09,-4.9749E-06,0.00020883,-1.0221E-08,7.6685E-06,0,0,0,0,0,0,package://mintchoco1/meshes/RB_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mintchoco1/meshes/RB_link3.STL,,foot-3;leg3-real-2.5-4;leg3-real-part-4,RB_joint3_car,RB_joint3_,RB_joint3,revolute,0.022,-0.18525,-0.03025,0,0,0,RB_link2,1,0.0017021,0,0,0,-3.14,3.14,,,,,,,,
